record_id,status_code,created_at,updated_at,user_assigned_uuid,notes,demand,category
31,active,1/11/2020,10/11/2020,b74cd830-0d13-4f95-a7eb-d358ecfe0fd3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",low,Sport
32,inactive,7/19/2020,8/13/2020,6722683a-4260-4b7d-96ef-b07266926b66,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,high,Van
33,inactive,6/3/2021,12/10/2020,e4a0536a-0267-4fd1-866b-27b6526a19ea,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",medium,Van
34,pending,3/3/2021,6/30/2021,caa5c387-70cc-42ce-b0e2-48828152f5eb,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,medium,Economical
35,active,8/1/2020,1/13/2020,8b18acdd-7ac8-427b-9902-6acc79868b89,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,medium,Economical
36,pending,1/19/2021,6/8/2021,cc3eec6d-698a-448f-9bf9-50b34ddd1fcb,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,high,Economical
37,pending,11/27/2021,11/10/2021,f839d86e-2a77-48a0-a8cf-9c6056bb4368,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,high,Van
38,pending,1/1/2020,9/30/2021,9819c374-ba9a-4343-b6f7-2d067ba9078f,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",low,Sport
39,active,9/3/2020,12/7/2020,83381fde-7fd5-4743-8829-a6282e844dec,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,high,Economical
40,retired,7/27/2020,2/16/2020,dec4f987-50db-42f6-b3d1-3c1562a139b1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",medium,Luxury
41,pending,12/19/2021,11/23/2021,b8673901-1065-49a0-826d-776c06a465cb,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,high,Truck
42,active,7/18/2020,11/2/2020,1c34e307-4efd-4fae-88a0-f19a2053deb0,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",high,Van
43,pending,5/18/2021,10/30/2020,b7586234-7229-49da-b3d6-4c469740cb11,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",medium,Economical
44,inactive,7/24/2020,10/30/2020,da452cb6-fd8a-46ee-a95a-f63caae55439,Sed ante. Vivamus tortor. Duis mattis egestas metus.,high,Economical
45,pending,12/11/2021,1/17/2021,470d1f57-adc7-4964-b80e-2b9d92cd9381,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",medium,Truck
46,retired,10/25/2020,2/2/2021,c8838b01-7526-4a04-bce1-679b7c898ea2,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",high,Truck
47,inactive,9/9/2021,10/10/2021,4e9b3d42-d415-4900-8333-97b417397aaa,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",medium,Extra Large
48,retired,6/13/2021,12/11/2021,f1f8f8f0-d4a6-4854-a7f3-e331eff0491e,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",medium,Van
49,retired,5/28/2020,3/5/2021,bbfdb53d-363a-4c31-b8dd-f8bb13f24bde,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,high,Economical
50,retired,1/29/2021,8/9/2020,dcba677c-f5d9-4ab6-b059-4618c46b8012,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,low,Truck
51,inactive,3/2/2020,3/7/2021,c68aae5f-d124-4b04-87e4-ff8f7e5257c6,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",high,Economical
52,pending,2/22/2020,4/14/2021,21fb8bb0-6f13-4768-9af7-d86fad7ef9ec,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,low,Luxury
53,inactive,7/6/2021,1/15/2020,015a7d2f-8892-47f5-8bba-6b920962ac10,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",high,Van
54,pending,9/23/2021,2/23/2020,02161b28-78c0-4a79-ad96-655524f7efbd,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",high,Extra Large
55,pending,9/8/2020,4/3/2020,1b2706be-74f6-4ea7-b21d-efd2dc302735,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,high,Van
56,inactive,6/15/2021,9/27/2021,f453d2f1-0a8c-4e98-80bd-d080573a7399,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",low,Sport
57,pending,9/22/2021,11/27/2020,43910c52-cec9-4d93-b292-451199739cfb,Sed ante. Vivamus tortor. Duis mattis egestas metus.,high,Van
58,retired,7/12/2021,4/6/2020,fb73b3de-b83a-49b1-b52a-3fb16d857c83,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",medium,Economical
59,active,4/28/2021,10/19/2021,74b8bbf8-8c98-48a7-bf4a-b5f5cbb638aa,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,medium,Luxury
60,inactive,8/7/2020,7/24/2021,e430f5b7-ae66-49c9-9fa9-c96d93bebea7,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,medium,Truck
61,inactive,1/31/2020,6/25/2021,09738cc2-2301-4c18-8bfd-cc179223f0b0,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",high,Luxury
62,retired,9/10/2021,3/11/2021,b22d1015-677c-49f7-aa86-72407b0e04be,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",low,Luxury
63,inactive,10/29/2021,6/26/2021,da258bb1-92fa-4302-82d0-ace90cde3f62,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,low,Economical
64,active,3/28/2020,10/5/2021,44e74233-6b16-405c-bdd7-27564eb3b715,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",high,Luxury
65,pending,11/1/2020,3/9/2021,2b3611b5-4612-487d-9f83-6c005637e798,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",medium,Truck
66,retired,5/10/2020,2/27/2021,e487b871-c932-4f8e-9e25-c3ec6fda7fa7,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",medium,Van
67,active,9/28/2021,7/20/2021,f45141ec-bb9a-4be1-9051-ed728f9a5706,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",high,Extra Large
68,active,8/25/2020,6/1/2020,a75d6b18-283a-4cb5-a26c-e9f0d7958973,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",low,Economical
69,pending,10/1/2020,8/23/2021,afa4a798-adae-4c04-9a61-50437d265670,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,high,Van
70,pending,8/8/2020,5/10/2020,0bd96f77-1e87-44fe-b99d-db5ba2a64dd5,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,high,Extra Large
71,retired,2/27/2020,12/4/2021,564a9f2e-3b22-4119-891e-857bda31a51c,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,low,Extra Large
72,inactive,11/3/2020,4/13/2020,97c847b1-ac68-42d2-9274-1f56dc4da79b,Fusce consequat. Nulla nisl. Nunc nisl.,low,Sport
73,inactive,7/15/2021,4/2/2021,d6df744a-0e4e-4ffc-a86e-8e0caa89a5a5,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",high,Extra Large
74,inactive,10/14/2020,6/29/2020,69210bc6-dfb0-42f7-8a68-56cca8bc33c5,In congue. Etiam justo. Etiam pretium iaculis justo.,low,Van
75,inactive,3/13/2021,2/18/2020,3a78781b-734f-4dc1-a274-d494a353f869,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",medium,Extra Large
76,retired,10/8/2021,7/12/2020,04587749-ca41-4576-91d1-aa8faacb81fc,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",medium,Luxury
77,retired,6/15/2021,3/28/2020,36d5d34a-c17f-4ee7-a962-539bb36b8024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,high,Sport
78,inactive,2/23/2020,1/18/2021,5edaae3b-0b04-49ee-8a25-fe265af62c37,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",high,Extra Large
79,inactive,12/25/2021,12/2/2021,5ff071e6-2f5f-490e-becd-e5e0e7150289,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",high,Van
80,active,11/14/2020,8/20/2021,c4ea26f8-6204-4ee7-9ec7-cead81fbfeb6,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,high,Economical
81,inactive,12/29/2020,2/2/2020,5a979df2-f1de-4d53-a44e-be2c9cf1fe6f,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,low,Truck
82,pending,5/11/2020,8/23/2021,72ac6b92-9c7b-4a11-8208-4c680009cbb4,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",high,Truck
83,pending,12/28/2020,3/15/2020,38dc8186-d550-43cf-8780-478acfb1f6c3,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,low,Van
84,retired,5/14/2021,4/1/2021,fd9d233c-fb4e-447d-81e2-8d2f7f506c2f,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,high,Van
85,active,7/29/2021,3/31/2021,8f52cf9b-968b-473c-a752-aa7c44cb59d5,In congue. Etiam justo. Etiam pretium iaculis justo.,high,Van
86,active,9/29/2020,1/27/2020,8e12a01f-d32a-43b0-8a83-ae676e52004c,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,high,Sport
87,inactive,7/16/2021,4/18/2021,71073efb-9dc6-4268-a5b6-858dcb041165,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",high,Economical
88,retired,4/16/2020,8/5/2020,9e5e4bb9-56cb-43c9-8ee6-5621bf7645de,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,high,Luxury
89,inactive,4/16/2020,8/7/2020,e8e67a04-5eac-4efd-add7-5b1368802e02,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",high,Extra Large
90,active,10/7/2020,3/31/2020,ef4824b6-282e-470f-bb98-45d49cf3b247,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",low,Economical
91,active,4/28/2021,5/7/2021,7f446a4b-b823-4f2e-9597-b11ee8c3f5f3,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,high,Van
92,active,11/18/2020,3/16/2020,7f61f9e0-49c8-4671-be8b-a702e6ffface,Phasellus in felis. Donec semper sapien a libero. Nam dui.,medium,Van
93,retired,3/6/2020,2/15/2020,61b81c67-eaaf-4a85-bb6c-7ee97bc0ae9c,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",high,Truck
94,pending,12/17/2021,1/28/2020,59fba11f-f20c-4fa9-b8d7-ec868473a40d,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,high,Van
95,inactive,1/24/2021,12/5/2020,3aba3959-8e61-41a6-8d30-15168ffe928e,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",low,Sport
96,pending,2/10/2021,3/30/2021,f0dc0752-ce0c-4ae6-b277-a02958df7123,Fusce consequat. Nulla nisl. Nunc nisl.,high,Truck
97,inactive,7/19/2021,8/7/2020,58b8423e-cb5a-4721-b3ea-05af99d15658,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",medium,Luxury
98,pending,3/28/2021,3/22/2020,07f6d36a-ea47-47fe-9b24-b2941cbd5800,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",low,Sport
99,active,10/7/2021,3/19/2021,75444285-3ab0-411c-9350-a3b16f920266,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",low,Truck
100,active,1/6/2021,8/31/2021,2d3f88d4-e9a3-4bf0-bfd0-fc9297adc378,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",medium,Van
101,pending,8/2/2020,6/25/2020,6c5519c8-f01b-4557-8477-acb24979f8f5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",low,Extra Large
102,inactive,2/12/2021,11/9/2021,830c4c0c-42ad-4728-8b74-a8d6a4dec488,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",low,Sport
103,inactive,5/28/2020,6/24/2020,843575cd-b407-4d15-b743-19a9ee75eb50,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",low,Luxury
104,active,10/2/2020,4/22/2020,a1be4cea-5644-4112-a9ee-0ec5e2daf7b5,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,low,Extra Large
105,active,6/11/2020,4/25/2021,7c22b9c5-0f7c-4249-aecb-21b382cd9c67,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,high,Truck
106,inactive,5/11/2021,2/4/2020,e294b41e-bb8a-44b1-8516-8876a0f4d2fe,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,low,Truck
107,pending,7/17/2021,7/11/2020,138172bf-c039-4dff-a38e-ce9796129d23,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,high,Economical
108,retired,10/13/2021,12/20/2020,6d8d86b2-4509-46ac-bcb3-2505b57b18d0,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",high,Truck
109,active,5/12/2020,10/18/2021,86f77a9f-023b-4607-b357-b7c3dd4db85a,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,medium,Van
110,active,9/24/2020,9/25/2020,320a3357-9fd4-4b68-ba0f-9de775767d5e,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,high,Sport
111,retired,12/21/2021,10/17/2021,7577e529-64aa-4c7a-981f-70f2f424cc44,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",low,Luxury
112,inactive,1/2/2020,3/7/2020,48cc3de2-9044-4c27-b439-7676306b0362,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,low,Sport
113,active,12/2/2020,11/12/2020,91e052d0-17a5-4db8-b156-f6d9a8ba7fd2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,high,Van
114,active,7/7/2020,9/4/2021,2218c281-e0b6-4f36-82f2-6c481bba164f,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,high,Extra Large
115,inactive,5/17/2020,4/3/2020,662b7d48-b3b3-4023-a44b-427e3d9995ab,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,low,Sport
116,retired,7/5/2021,8/10/2020,e648088b-ef2e-4e7b-aa6f-3f246c59313c,Phasellus in felis. Donec semper sapien a libero. Nam dui.,medium,Extra Large
117,active,7/5/2021,4/24/2021,422e5ee2-d929-4646-a00c-6a40e57827d1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",high,Extra Large
118,retired,11/21/2021,10/20/2020,d7c34980-4732-483f-b167-0415beec4c92,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",high,Luxury
119,active,5/11/2020,7/22/2020,20aeddbc-7813-4f70-876c-a801fa73653b,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,medium,Van
120,active,9/21/2021,6/6/2020,ac5e9a0b-8110-4085-81d4-a77b6a28e5c1,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",low,Van
121,inactive,7/6/2021,6/5/2021,1e093ba1-9678-4704-9f52-b26ae8ff9774,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,high,Van
122,inactive,10/17/2020,3/13/2020,ffbdd8ea-a5de-4d62-9b10-7f23abe3e786,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",low,Truck
123,active,9/12/2020,3/18/2021,8f5e4dc1-eaf3-440b-afd8-5bac446d972c,Fusce consequat. Nulla nisl. Nunc nisl.,low,Luxury
124,retired,3/15/2020,5/30/2020,c695001c-0ca7-43f2-a9c4-d4b11caad0ff,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",high,Truck
125,inactive,12/10/2020,11/21/2020,fef621e1-e31b-4757-bacf-538e6c697170,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",low,Van
